rank,suburb,median_value_aud
 422,Bundeena,"$1,153,400"
 423,Kogarah,"$1,152,300"
 424,Wollombi,"$1,146,600"
 425,Eltham,"$1,143,300"
 425,Londonderry,"$1,143,300"
 427,Wyong Creek,"$1,141,600"
 428,Ermington,"$1,141,500"
 429,Scarborough,"$1,141,000"
 430,Werombi,"$1,138,700"
 431,Otford,"$1,137,500"
 432,Hamilton East,"$1,135,000"
 433,North Avoca,"$1,130,300"
 434,Bardwell Valley,"$1,130,100"
 435,Maianbar,"$1,128,300"
 436,Kareela,"$1,128,200"
 437,Hornsby,"$1,125,700"
 438,Carwoola,"$1,125,600"
 439,Scotland Island,"$1,125,000"
 439,Shannon Vale,"$1,125,000"
 441,South Hurstville,"$1,123,800"
 442,Hornsby Heights,"$1,123,500"
 443,Fingal Head,"$1,122,500"
 444,Belfield,"$1,122,000"
 445,Thornleigh,"$1,120,900"
 446,Sylvania,"$1,120,700"
 447,Catherine Field,"$1,120,600"
 448,Picnic Point,"$1,119,900"
 449,Pindimar,"$1,116,600"
 450,East Kurrajong,"$1,116,200"
 451,Asquith,"$1,116,100"
 452,Banksia,"$1,115,400"
 453,Minnamurra,"$1,114,500"
 454,Baulkham Hills,"$1,110,800"
 455,Kingscliff,"$1,109,900"
 456,Miranda,"$1,107,300"
 457,Sun Valley,"$1,106,600"
 458,Barrack Point,"$1,106,200"
 459,Avoca Beach,"$1,105,900"
 460,Allawah,"$1,103,900"
 461,Grose Vale,"$1,103,700"
 462,Newcastle,"$1,099,600"
 463,Campsie,"$1,095,700"
 464,Rosebank,"$1,095,300"
 465,Megalong,"$1,095,000"
 466,Berry,"$1,094,100"
 467,Mount Wilson,"$1,091,500"
 468,Elizabeth Hills,"$1,091,400"
 469,Belimbla Park,"$1,087,500"
 470,Lidcombe,"$1,085,300"
 471,Mortdale,"$1,075,100"
 472,Ellis Lane,"$1,075,000"
 473,Bulli,"$1,074,700"
 474,Caringbah,"$1,073,800"
 475,Dundas Valley,"$1,071,300"
 476,Sackville North,"$1,070,000"
 477,Mount Colah,"$1,069,900"
 478,Casuarina,"$1,069,600"
 479,Menangle,"$1,069,000"
 480,Bowral,"$1,068,300"
 481,Bangalow,"$1,065,100"
 481,Mount Pleasant,"$1,065,100"
 483,Brogers Creek,"$1,063,300"
 484,Voyager Point,"$1,058,400"
 485,Hamilton South,"$1,056,700"
 486,Woronora Heights,"$1,055,900"
 487,Mortlake,"$1,053,300"
 487,Mullumbimby Creek,"$1,053,300"
 489,Avoca,"$1,052,500"
 490,Wallarah,"$1,048,300"
 491,Yarrawarrah,"$1,040,500"
 492,Parramatta,"$1,039,800"
 493,Great Mackerel Beach,"$1,038,300"
 494,High Range,"$1,036,600"
 495,Yarramundi,"$1,036,200"
 496,Kirrawee,"$1,036,000"
 497,The Ponds,"$1,035,500"
 498,Belmore,"$1,034,300"
 499,Tennyson,"$1,033,300"
 500,Camden Park,"$1,032,300"
 501,Rouse Hill,"$1,031,000"
 502,Burrawang,"$1,030,000"
 502,Exeter,"$1,030,000"
 504,Lennox Head,"$1,029,300"
 505,Berowra,"$1,028,300"
 506,Copacabana,"$1,026,700"
 507,Hartley,"$1,026,600"
 508,Daleys Point,"$1,025,800"
 509,Warwick Farm,"$1,023,300"
 510,Bombo,"$1,020,000"
 511,Fernleigh,"$1,019,100"
 512,Forresters Beach,"$1,017,400"
 513,Peakhurst,"$1,013,500"
 514,Merewether Heights,"$1,012,100"
 515,Riverside,"$1,011,600"
 516,Rothbury,"$1,011,000"
 517,Kellyville Ridge,"$1,008,900"
 518,Cowan,"$1,008,700"
 519,Robin Hill,"$1,007,000"
 520,Westmead,"$1,006,300"
 521,Grose Wold,"$1,005,000"
 522,Berowra Heights,"$1,003,500"
 523,Glenwood,"$1,003,100"
 524,Maitland Vale,"$1,001,600"
 525,Sandy Point,"$1,001,300"
 526,Kurrajong,"$999,100"
 527,Huskisson,"$999,000"
 528,Jannali,"$998,300"
 529,Wamberal,"$995,600"
 530,Kangaroo Valley,"$994,500"
 531,The Ridgeway,"$994,300"
 532,Narwee,"$994,200"
 533,Chapman,"$993,300"
 533,Mount Rankin,"$993,300"
 535,Gymea,"$991,800"
 536,Kiama Heights,"$989,600"
 537,Loftus,"$988,200"
 538,Tapitallee,"$987,500"
 539,Wallacia,"$986,600"
 540,Bendalong,"$984,300"
 541,Menai,"$983,300"
 541,Sutton,"$983,300"
 541,Wildes Meadow,"$983,300"
 544,Turrella,"$982,800"
 545,Bangor,"$982,600"
 546,Little Forest,"$978,300"
 546,Sutton Forest,"$978,300"
 548,Coasters Retreat,"$977,000"
 549,Coal Point,"$976,600"
 550,Kanimbla,"$975,000"
 551,Abbotsbury,"$971,700"
 552,Rous,"$971,600"
 553,Quorrobolong,"$969,100"
 553,Redhead,"$969,100"
 555,Bankstown,"$968,800"
 556,Luddenham,"$967,000"
 557,Repentance Creek,"$966,600"
 558,Wentworthville,"$966,300"
 559,Holroyd,"$965,000"
 560,Clothiers Creek,"$961,600"
 560,Wakefield,"$961,600"
 562,Mount Kuring-gai,"$961,000"
 563,Upper Kangaroo River,"$960,800"
 564,Elvina Bay,"$960,000"
 565,Cudgera Creek,"$959,100"
 566,Brunswick Heads,"$956,600"
 567,Winston Hills,"$956,100"
 568,Roselands,"$954,400"
 569,Mossy Point,"$952,000"
 570,Blue Bay,"$950,500"
 571,St Albans,"$950,000"
 572,Terrigal,"$948,800"
 573,Urliup,"$946,600"
 574,Brightwaters,"$946,400"
 575,East Hills,"$946,200"
 576,Silverdale,"$944,500"
 577,Coffs Harbour Jetty,"$944,100"
 578,Empire Bay,"$941,800"
 579,Harrington Park,"$941,300"
 580,Panania,"$938,700"
 581,Revesby Heights,"$938,500"
 582,McLeans Ridges,"$936,000"
 583,Federal,"$935,100"
 584,Douglas Park,"$935,000"
 585,Goonengerry,"$932,200"
 586,Mount Ousley,"$931,600"
 586,West Wiangaree,"$931,600"
 588,Lilli Pilli,"$930,700"
 589,Cecil Hills,"$928,900"
 590,Skennars Head,"$927,700"
 590,Sutherland,"$927,700"
 592,MacQuarie Links,"$927,100"
 593,Shelly Beach,"$925,700"
 594,Engadine,"$924,800"
 595,Heathcote,"$924,700"
 595,Padstow,"$924,700"
 597,Crackenback,"$924,600"
 598,North Parramatta,"$924,000"
 599,Gundaroo,"$923,100"
 600,Falls Creek,"$923,000"
 601,Gerringong,"$922,200"
 602,Kings Langley,"$921,300"
 603,Norah Head,"$921,200"
 603,Nowra Hill,"$921,200"
 605,Northmead,"$920,700"
 606,Revesby,"$920,400"
 607,Glenbrook,"$920,300"
 608,Wamboin,"$920,000"
 609,Windella,"$918,300"
 610,Stanhope Gardens,"$917,700"
 611,Riverwood,"$917,500"
 612,Shell Cove,"$916,200"
 613,Bilpin,"$915,000"
 613,Ramsgate Beach,"$915,000"
 615,Blueys Beach,"$914,000"
 616,Pampoolah,"$911,600"
 616,Rous Mill,"$911,600"
 618,Cawdor,"$910,000"
 618,White Rock,"$910,000"
 620,Mandalong,"$909,000"
 621,Greenleigh,"$907,400"
 622,Jamberoo,"$907,300"
 623,Condell Park,"$906,100"
 624,Murrumbateman,"$905,400"
 625,Erina Heights,"$905,000"
 625,South Durras,"$905,000"
 627,The Oaks,"$904,700"
 628,One Mile,"$904,600"
 629,Swansea Heads,"$904,200"
 630,Kiama,"$901,800"
 631,Prairiewood,"$901,500"
 632,Colebee,"$896,900"
 633,Chipping Norton,"$896,700"
 634,Cooks Hill,"$896,300"
 635,Martinsville,"$896,000"
 636,Waterfall,"$895,600"
 637,Georges Hall,"$894,600"
 638,Parma,"$894,000"
 639,Edensor Park,"$893,800"
 640,Greenacre,"$891,500"
 641,Mulgrave,"$890,600"
 642,Padstow Heights,"$889,200"
 643,Leura,"$885,400"
 644,Mangrove Mountain,"$885,000"
 645,Catherine Hill Bay,"$883,300"
 646,Maryville,"$882,600"
 647,Rosehill,"$879,300"
 648,Cabramatta West,"$878,800"
 649,Towradgi,"$878,400"
 650,Dudley,"$878,200"
 651,Merrylands,"$876,500"
 652,Carnes Hill,"$876,200"
 653,Denham Court,"$876,100"
 654,Stockton,"$875,700"
 655,Bonnyrigg Heights,"$874,900"
 656,Edmondson Park,"$874,300"
 657,Stanwell Tops,"$873,900"
 658,Blaxlands Ridge,"$873,000"
 659,Lambs Valley,"$871,600"
 660,Woodville,"$870,000"
 661,Caddens,"$869,900"
 662,Dangar Island,"$868,300"
 663,Arrawarra Headland,"$865,000"
 663,Cuttagee,"$865,000"
 663,Toowoon Bay,"$865,000"
 666,Pemulwuy,"$863,000"
 667,Mangerton,"$862,300"
 668,Glen Alpine,"$861,600"
 669,Loomberah,"$861,200"
 670,Macquarie Park,"$861,000"
 671,Bogangar,"$859,800"
 672,Vincentia,"$859,400"
 673,Mooney Mooney,"$859,300"
 674,Bawley Point,"$859,200"
 675,Leppington,"$859,000"
 676,Berowra Waters,"$858,300"
 676,Bungarribee,"$858,300"
 678,Mollymook Beach,"$858,100"
 679,Phegans Bay,"$856,000"
 680,Milperra,"$855,100"
 681,Farley,"$855,000"
 682,Chittaway Point,"$854,500"
 683,Nelsons Plains,"$853,000"
 684,Kiama Downs,"$852,900"
 685,New Lambton Heights,"$852,600"
 686,Cobbitty,"$852,100"
 687,Dolphin Point,"$852,000"
 688,Keiraville,"$851,400"
 689,Haywards Bay,"$850,300"
 690,Kurrajong Hills,"$850,200"
 690,Pendle Hill,"$850,200"
 692,Punchbowl,"$850,000"
 693,Caves Beach,"$849,600"
 694,Clifton Grove,"$849,000"
 695,Bossley Park,"$848,900"
 696,Moorebank,"$846,300"
 697,Wollongong,"$845,000"
 698,Balgownie,"$844,300"
 699,Laffing Waters,"$843,600"
 700,Lakelands,"$843,200"
 701,Lakemba,"$841,800"
 701,West Hoxton,"$841,800"
 703,Putta Bucca,"$841,600"
 704,Canley Vale,"$840,600"
 705,Billinudgel,"$840,000"
 705,Dalwood,"$840,000"
 707,Auburn,"$839,500"
 708,Main Arm,"$838,500"
 709,Sandgate,"$838,300"
 710,Old Toongabbie,"$837,800"
 711,St Johns Park,"$837,600"
 712,South Golden Beach,"$837,500"
 713,Acacia Gardens,"$837,400"
 714,Chester Hill,"$836,100"
 715,Berala,"$835,900"
 716,Constitution Hill,"$832,900"
 717,Woonona,"$832,600"
 718,Girraween,"$832,400"
 719,Greystanes,"$829,700"
 720,Eleebana,"$828,300"
 721,Bass Hill,"$827,700"
 722,Bangalee,"$826,700"
 723,Schofields,"$824,800"
 724,South Wentworthville,"$824,400"
 725,South Granville,"$822,000"
 726,Helensburgh,"$820,200"
 727,Wilberforce,"$819,500"
 728,Box Hill,"$819,400"
 729,Conjola,"$818,600"
 730,Cordeaux Heights,"$817,400"
 731,Shellharbour,"$817,300"
 732,Freemans Reach,"$816,800"
 733,Russell Vale,"$816,500"
 734,Leonay,"$816,400"
 735,Wiley Park,"$815,400"
 736,Bundanoon,"$815,100"
 736,Soldiers Point,"$815,100"
 738,Sefton,"$814,500"
 739,Middleton Grange,"$813,700"
 740,Louth Park,"$813,300"
 741,Yagoona,"$812,600"
 742,Wilton,"$811,600"
 743,Fairfield Heights,"$809,300"
 744,East Corrimal,"$809,100"
 745,Adamstown Heights,"$808,600"
 746,East Ballina,"$807,800"
 747,Bobs Farm,"$807,500"
 748,Brooklyn,"$807,000"
 749,Parklea,"$805,300"
 750,Callala Beach,"$805,100"
 751,Balaclava,"$805,000"
 751,Tregeagle,"$805,000"
 753,Granville,"$804,900"
 754,Braemar,"$804,200"
 755,Mullumbimby,"$802,800"
 756,Brandy Hill,"$802,000"
 757,Corlette,"$800,500"
 758,Boambee,"$799,100"
 759,Canyonleigh,"$798,300"
 760,Gledswood Hills,"$797,500"
 761,Boat Harbour,"$796,000"
 761,Budgong,"$796,000"
 763,Holsworthy,"$795,300"
 763,Sancrox,"$795,300"
 765,Red Head,"$795,000"
 766,Davistown,"$794,500"
 767,Robertson,"$793,800"
 768,Salamander Bay,"$793,200"
 769,Horningsea Park,"$791,600"
 769,Lapstone,"$791,600"
 771,Toongabbie,"$791,500"
 771,Wattle Grove,"$791,500"
 773,Yattalunga,"$790,600"
 774,Tallawang,"$790,000"
 775,Regentville,"$789,300"
