rank,suburb,median_value_aud
 1585,Waterview Heights,"$447,000"
 1586,Telegraph Point,"$446,600"
 1587,Potato Point,"$446,300"
 1588,Binjura,"$445,300"
 1589,Cliftleigh,"$445,000"
 1590,Booral,"$444,300"
 1591,Bungwahl,"$444,100"
 1591,Goonellabah,"$444,100"
 1591,Mallabula,"$444,100"
 1594,Metford,"$442,600"
 1595,East Branxton,"$442,200"
 1596,Batemans Bay,"$441,500"
 1597,Bodalla,"$441,400"
 1598,Kremnos,"$441,000"
 1599,Woodburn,"$440,700"
 1600,Tenambit,"$440,500"
 1601,Gateshead,"$439,800"
 1602,Carrs Creek,"$438,600"
 1603,Koonawarra,"$436,900"
 1604,Clarenza,"$436,600"
 1605,Shortland,"$435,300"
 1606,Cobargo,"$435,000"
 1607,Rushforth,"$434,600"
 1608,Gowrie,"$434,500"
 1608,Tregear,"$434,500"
 1610,Singleton,"$433,600"
 1611,Bulahdelah,"$432,600"
 1612,Bega,"$431,900"
 1613,Stroud,"$431,800"
 1614,Whiteman Creek,"$431,700"
 1615,Canton Beach,"$431,600"
 1616,Cooperabung,"$430,500"
 1617,Bar Point,"$429,000"
 1618,Maitland,"$427,500"
 1619,Chillingham,"$426,300"
 1620,Basin View,"$425,700"
 1621,Run-o-waters,"$425,600"
 1622,Bathurst,"$425,300"
 1623,Gol Gol,"$424,800"
 1624,Nambucca Heads,"$423,800"
 1625,Brushgrove,"$423,300"
 1626,Marlee,"$422,300"
 1627,Glen Davis,"$421,600"
 1627,Talarm,"$421,600"
 1629,Griffith,"$420,100"
 1630,Mitchells Island,"$419,600"
 1631,Verges Creek,"$419,000"
 1631,Yarravel,"$419,000"
 1633,Rutherford,"$418,500"
 1634,Karuah,"$418,400"
 1635,Woodrising,"$418,300"
 1636,East Lismore,"$415,800"
 1637,Blue Knob,"$415,600"
 1637,Killabakh,"$415,600"
 1639,Kendall,"$414,800"
 1640,Oberon,"$414,500"
 1641,Upper Corindi,"$413,600"
 1642,Hillgrove,"$413,200"
 1643,Maclean,"$412,500"
 1644,Scone,"$411,900"
 1644,Thurgoona,"$411,900"
 1646,Estella,"$411,700"
 1647,Valla Beach,"$411,200"
 1648,Willmot,"$410,000"
 1649,Dunoon,"$409,500"
 1650,Lismore Heights,"$409,300"
 1651,Broadwater,"$407,500"
 1652,Greta,"$407,300"
 1653,Wyndham,"$406,500"
 1654,Jiggi,"$404,900"
 1655,Raymond Terrace,"$404,800"
 1656,Aberdare,"$404,400"
 1656,East Albury,"$404,400"
 1658,Perthville,"$404,300"
 1659,Abermain,"$404,100"
 1660,Old Erowal Bay,"$403,600"
 1661,Townsend,"$403,400"
 1662,Gurranang,"$403,300"
 1662,The Channon,"$403,300"
 1664,Triangle Flat,"$403,000"
 1665,Argenton,"$402,100"
 1666,Broke,"$401,800"
 1667,Mulwala,"$401,200"
 1668,Fishermans Reach,"$400,000"
 1669,Hallsville,"$399,700"
 1670,Hillvue,"$398,300"
 1671,Raglan,"$397,500"
 1672,Crookwell,"$396,900"
 1673,Taree South,"$396,800"
 1674,Spring Hill,"$396,600"
 1675,Wongarbon,"$395,300"
 1676,Turvey Park,"$395,200"
 1677,Abernethy,"$395,000"
 1678,Tarago,"$393,700"
 1679,Coolamon,"$393,300"
 1680,Mullion Creek,"$391,200"
 1681,Bellbird Heights,"$390,900"
 1682,Gladstone,"$390,000"
 1682,Grassy Head,"$390,000"
 1684,Calala,"$389,600"
 1685,Rydal,"$389,100"
 1686,Seelands,"$388,600"
 1687,Paxton,"$387,600"
 1688,Comboyne,"$387,500"
 1689,Mogo,"$387,300"
 1690,Dubbo,"$386,700"
 1691,Junction Hill,"$386,000"
 1692,Bewong,"$385,000"
 1693,Pelaw Main,"$384,300"
 1694,Spencer,"$384,100"
 1695,Tamworth,"$383,800"
 1696,Bredbo,"$383,700"
 1697,Moonbi,"$383,300"
 1698,Cessnock,"$383,200"
 1699,Kearsley,"$383,000"
 1700,Moruya Heads,"$382,200"
 1701,Gresford,"$381,600"
 1702,Collombatti,"$380,300"
 1703,Heatherbrae,"$380,000"
 1703,Tarbuck Bay,"$380,000"
 1705,Bellbird,"$379,800"
 1706,Gunning,"$379,700"
 1707,Coramba,"$379,600"
 1708,Macksville,"$378,000"
 1709,Lorne,"$376,600"
 1710,Singleton Heights,"$376,200"
 1711,Armidale,"$376,100"
 1712,Pelton,"$374,500"
 1713,Beresfield,"$374,100"
 1714,Wallerawang,"$373,400"
 1715,Eatonsville,"$373,300"
 1715,Fairy Hill,"$373,300"
 1715,Jerrys Plains,"$373,300"
 1718,Coomba Park,"$372,100"
 1719,Howards Grass,"$371,800"
 1720,Invergowrie,"$371,600"
 1721,St Fillans,"$370,600"
 1721,Telarah,"$370,600"
 1723,Kurri Kurri,"$369,800"
 1724,Tinonee,"$369,300"
 1725,Dungog,"$368,000"
 1725,Spring Grove,"$368,000"
 1727,Wingham,"$367,000"
 1728,North Narooma,"$366,600"
 1729,Molong,"$365,900"
 1730,Taralga,"$365,100"
 1731,Kooringal,"$363,800"
 1732,Lismore,"$363,500"
 1733,Nattai,"$363,300"
 1734,Sofala,"$362,600"
 1735,North Tamworth,"$362,300"
 1735,Tullymorgan,"$362,300"
 1737,Blayney,"$361,700"
 1738,Brogo,"$361,600"
 1739,Denman,"$361,300"
 1740,Windale,"$361,000"
 1741,North Macksville,"$360,000"
 1742,West Bathurst,"$359,700"
 1743,Stanford Merthyr,"$359,400"
 1744,Dorrigo,"$359,300"
 1745,Hamilton Valley,"$359,100"
 1746,Berridale,"$359,000"
 1747,Swanhaven,"$358,300"
 1748,Tyalgum,"$357,800"
 1749,Cundletown,"$356,400"
 1749,Gulgong,"$356,400"
 1751,Millingandi,"$355,800"
 1751,Nabiac,"$355,800"
 1753,Glenroy,"$355,500"
 1754,Hermitage Flat,"$355,000"
 1755,Bowning,"$354,300"
 1756,Quaama,"$354,100"
 1757,Martins Creek,"$354,000"
 1758,South Bathurst,"$353,000"
 1759,Murrurundi,"$352,800"
 1760,Buronga,"$352,500"
 1761,Rylstone,"$352,000"
 1762,Herons Creek,"$351,600"
 1763,Yippin Creek,"$350,600"
 1764,Cooma,"$348,400"
 1765,Krambach,"$347,500"
 1766,Tarro,"$346,800"
 1767,Johns River,"$346,600"
 1767,Kootingal,"$346,600"
 1769,Grafton,"$346,200"
 1770,Forest Hill,"$345,700"
 1771,Taree,"$345,400"
 1772,Littleton,"$344,700"
 1773,Lithgow,"$343,300"
 1774,Geneva,"$341,600"
 1775,Gunnedah,"$341,100"
 1776,North Arm Cove,"$340,500"
 1777,Bundabah,"$340,000"
 1777,Ilarwill,"$340,000"
 1779,Mangoplah,"$339,900"
 1780,Jindera,"$339,500"
 1781,Rockley,"$339,300"
 1782,Coopernook,"$338,400"
 1783,North Dorrigo,"$336,600"
 1784,East Kempsey,"$336,500"
 1785,Hastings Point,"$334,600"
 1786,Ladysmith,"$333,000"
 1787,Horseshoe Bend,"$332,700"
 1788,Woodberry,"$332,300"
 1789,Tucabia,"$331,600"
 1790,Springdale Heights,"$329,600"
 1791,Westdale,"$328,300"
 1792,Sandy Hollow,"$327,600"
 1792,Stroud Road,"$327,600"
 1794,Coraki,"$327,000"
 1795,Majors Creek,"$325,600"
 1796,North Lismore,"$323,600"
 1796,Uranquinty,"$323,600"
 1798,Stuarts Point,"$322,800"
 1799,Young,"$322,700"
 1800,Limeburners Creek,"$322,600"
 1800,South Albury,"$322,600"
 1802,Nymboida,"$321,300"
 1803,Tumut,"$321,100"
 1804,Kyogle,"$320,500"
 1805,Allworth,"$320,000"
 1806,Parkville,"$319,100"
 1807,Aldavilla,"$318,900"
 1808,Boorowa,"$318,300"
 1808,Pillar Valley,"$318,300"
 1810,Kitchener,"$318,000"
 1811,Bemboka,"$317,300"
 1812,Muswellbrook,"$316,100"
 1813,Wentworth,"$316,000"
 1814,Lansdowne,"$315,600"
 1815,Glenfield Park,"$315,500"
 1815,Moorland,"$315,500"
 1817,North Woodburn,"$315,000"
 1818,Gloucester,"$314,600"
 1819,Tocumwal,"$312,500"
 1820,Uralla,"$311,900"
 1821,Binalong,"$311,600"
 1821,Lidsdale,"$311,600"
 1823,Rileys Hill,"$311,300"
 1824,Blandford,"$310,800"
 1825,West Albury,"$310,700"
 1826,Gerogery,"$310,300"
 1827,Coutts Crossing,"$309,500"
 1828,Glenreagh,"$309,200"
 1829,Manildra,"$309,000"
 1830,Gormans Hill,"$308,600"
 1831,West Tamworth,"$308,000"
 1832,Yoogali,"$307,700"
 1833,Oxley Vale,"$307,500"
 1834,Lyndhurst,"$306,600"
 1834,Yenda,"$306,600"
 1836,Morts Estate,"$305,800"
 1837,Attunga,"$304,800"
 1838,Nerong,"$303,300"
 1839,Cargo,"$300,600"
 1840,Coopers Gully,"$300,000"
 1840,Liston,"$300,000"
 1840,Somerton,"$300,000"
 1843,Harwood,"$299,000"
 1843,Windeyer,"$299,000"
 1845,Canowindra,"$298,700"
 1846,Eungai Creek,"$298,300"
 1847,South Lismore,"$297,500"
 1848,Lue,"$297,100"
 1849,Mongarlowe,"$296,300"
 1850,Bowraville,"$295,800"
 1851,Walcha,"$295,600"
 1852,Towamba,"$294,300"
 1853,Lavington,"$293,600"
 1854,Duri,"$293,500"
 1855,Moree,"$291,900"
 1856,Casino,"$291,500"
 1857,Hay,"$290,600"
 1858,Howlong,"$290,300"
 1859,Ulmarra,"$290,000"
 1860,Ballimore,"$289,000"
 1861,Forbes,"$288,800"
 1862,Cowra,"$288,500"
 1863,South Grafton,"$288,100"
 1864,Montefiores,"$287,600"
 1865,Euston,"$287,100"
 1866,Wootton,"$286,600"
 1867,South Kempsey,"$285,800"
 1868,West Kempsey,"$285,400"
 1869,Burrumbuttock,"$284,600"
 1870,Temora,"$283,000"
 1871,Inverell,"$282,300"
 1872,Bilbul,"$282,000"
 1872,Brocklehurst,"$282,000"
 1872,Curlwaa,"$282,000"
 1875,Narrabri,"$281,500"
 1876,Murringo,"$280,800"
 1877,Vale Of Clwydd,"$280,600"
 1878,Copmanhurst,"$278,700"
 1878,Gumly Gumly,"$278,700"
 1880,Neath,"$278,300"
 1881,Hanwood,"$277,000"
 1882,Beelbangera,"$276,300"
 1883,Bendemeer,"$275,500"
 1884,Corowa,"$274,700"
 1885,Parkes,"$274,600"
 1886,Ilford,"$272,600"
 1887,Marrar,"$271,000"
 1888,Stubbo,"$270,300"
 1889,Captains Flat,"$270,100"
 1890,Wattamondara,"$270,000"
 1891,Nemingha,"$268,300"
 1892,Pottery Estate,"$267,600"
 1893,Walla Walla,"$267,200"
 1894,South Littleton,"$266,600"
 1894,Woolomin,"$266,600"
 1896,Adaminaby,"$265,800"
 1897,Lowanna,"$265,500"
 1898,Gundagai,"$265,400"
 1899,Cootamundra,"$265,200"
 1900,Manilla,"$264,800"
 1901,Frederickton,"$264,600"
 1902,North Albury,"$262,400"
 1903,Kempsey,"$262,200"
 1904,Tenterfield,"$260,900"
 1905,Aberdeen,"$260,800"
 1906,Gilgai,"$259,300"
 1907,Old Junee,"$259,000"
 1908,Glen Innes,"$258,800"
 1909,Hexham,"$258,300"
 1910,Cawongla,"$255,600"
 1911,Narromine,"$255,500"
 1912,Wattle Flat,"$255,000"
 1913,Junee,"$253,800"
 1914,Mount Austin,"$251,700"
 1915,Charlotte Bay,"$251,000"
 1915,Deniliquin,"$251,000"
 1915,Tolland,"$251,000"
 1918,Mitchell,"$250,000"
 1918,Wherrol Flat,"$250,000"
 1920,East Gresford,"$249,300"
 1921,Tarana,"$248,300"
 1922,The Rock,"$247,600"
 1923,Coomealla,"$247,500"
 1924,Guyra,"$247,000"
 1925,Anglers Reach,"$246,300"
 1925,Lucknow,"$246,300"
 1927,Portland,"$246,200"
 1928,Rappville,"$245,800"
 1929,Barham,"$245,000"
 1929,Eungai Rail,"$245,000"
 1931,Wee Waa,"$244,600"
 1932,Curlewis,"$242,000"
 1933,Warren,"$241,600"
 1934,Coolongolook,"$240,600"
 1934,South Tamworth,"$240,600"
 1936,Mandurama,"$240,100"
 1937,Leeton,"$239,200"
 1938,East Wagga Wagga,"$237,600"
 1939,Bingara,"$237,500"
 1940,Wyalong,"$236,000"
 1941,Wingen,"$235,000"
 1942,Smithtown,"$234,000"
 1943,North Wagga Wagga,"$232,000"
 1944,Boggabri,"$231,800"
 1945,Currabubula,"$231,600"
 1945,Wyangala,"$231,600"
 1947,Batlow,"$230,800"
 1948,Merriwa,"$230,100"
 1949,Ashley,"$226,600"
 1949,Gooloogong,"$226,600"
 1951,Narrandera,"$225,400"
 1952,Adelong,"$225,000"
 1953,Nundle,"$220,000"
 1954,Stuart Town,"$219,300"
 1955,Tabulam,"$218,300"
 1956,Collingullie,"$217,600"
 1957,Bombala,"$215,700"
 1958,Clandulla,"$214,300"
 1958,Ganmain,"$214,300"
 1960,Cullen Bullen,"$213,300"
 1961,Wiangaree,"$212,800"
 1962,Talbingo,"$211,800"
 1963,Quirindi,"$209,800"
 1964,Holbrook,"$209,200"
 1965,Kandos,"$208,600"
 1966,Dalgety,"$208,300"
 1967,Harden,"$207,700"
 1968,Cudal,"$206,600"
 1969,Ulong,"$205,000"
 1970,Werris Creek,"$204,000"
 1971,Condobolin,"$202,000"
 1972,Eugowra,"$200,700"
 1973,Monteagle,"$200,000"
 1974,Nimmitabel,"$199,300"
 1975,Lockhart,"$198,800"
 1976,West Wyalong,"$195,900"
 1977,Woodstock,"$195,600"
 1978,Culcairn,"$193,600"
 1979,Pomona,"$192,600"
 1980,Bourke,"$192,500"
 1981,Mallanganee,"$192,300"
 1982,Balranald,"$190,000"
 1983,Geurie,"$189,500"
 1984,Pine Ridge,"$189,300"
 1985,Dareton,"$188,100"
 1986,Greenhill,"$187,000"
 1987,Walgett,"$186,600"
 1987,Wallabadah,"$186,600"
 1989,Gilgandra,"$186,300"
 1990,Neville,"$186,000"
 1991,Ariah Park,"$184,100"
 1992,Nericon,"$183,500"
 1993,Berrigan,"$182,900"
 1994,Sunny Corner,"$180,000"
 1995,Yanco,"$179,600"
 1996,Bellbrook,"$179,000"
 1997,Oaky Park,"$178,800"
 1998,Bonalbo,"$177,800"
 1999,Broken Hill,"$177,400"
 2000,Tarcutta,"$177,300"
 2000,Wellington,"$177,300"
 2002,Dunedoo,"$176,600"
 2003,Wallendbeen,"$175,900"
 2004,Deepwater,"$175,500"
 2005,Woodenbong,"$175,000"
 2006,Carroll,"$174,500"
 2007,Koorawatha,"$174,400"
 2008,Stockinbingal,"$171,000"
 2008,Tooleybuc,"$171,000"
 2010,Tumbarumba,"$169,200"
 2011,Brocklesby,"$169,000"
 2011,Grenfell,"$169,000"
 2013,Barmedman,"$166,300"
 2014,Cobar,"$165,500"
 2014,Murrumburrah,"$165,500"
 2016,Cumnock,"$164,600"
 2016,Mathoura,"$164,600"
 2018,Coolah,"$163,600"
 2019,South Guyra,"$162,900"
 2020,Darlington Point,"$162,200"
 2021,Trundle,"$160,800"
 2022,Finley,"$160,700"
 2023,Henty,"$160,100"
 2024,Ashmont,"$159,700"
 2025,Koraleigh,"$159,300"
 2026,Binnaway,"$159,100"
 2027,Ashford,"$158,600"
 2027,Warialda,"$158,600"
 2029,Hillston,"$154,500"
 2030,Bundarra,"$153,300"
 2030,Khancoban,"$153,300"
 2032,Grong Grong,"$149,100"
 2033,Coonabarabran,"$147,700"
 2034,Lake Cargelligo,"$146,600"
 2034,Peak Hill,"$146,600"
 2036,Torrington,"$146,200"
 2037,Barraba,"$144,700"
 2038,Drake,"$142,800"
 2039,Urbenville,"$140,000"
 2040,Ardlethan,"$137,600"
 2040,Boree Creek,"$137,600"
 2042,Willow Tree,"$137,000"
 2043,Mendooran,"$136,600"
 2044,Lightning Ridge,"$135,800"
 2045,Ebor,"$135,300"
 2046,Nyngan,"$135,000"
 2046,Trangie,"$135,000"
 2048,Emmaville,"$128,300"
 2049,Delegate,"$126,600"
 2049,Delungra,"$126,600"
 2049,Oaklands,"$126,600"
 2052,Moulamein,"$125,500"
 2053,Tottenham,"$122,500"
 2054,Yeoval,"$121,800"
 2055,Ravenswood,"$121,200"
 2056,Quandialla,"$120,600"
 2056,Whitton,"$120,600"
 2058,Brewarrina,"$120,400"
 2059,Menindee,"$120,000"
 2060,Mumbil,"$114,100"
 2061,Barellan,"$111,800"
 2062,South Gundagai,"$111,600"
 2063,Jerilderie,"$111,200"
 2064,Gulargambone,"$110,000"
 2065,Coleambally,"$108,300"
 2066,Mount George,"$105,000"
 2067,Baradine,"$96,000"
 2068,Urana,"$95,200"
 2069,Pallamallawa,"$95,000"
 2070,Goolgowi,"$91,600"
 2071,Wakool,"$89,000"
 2072,Old Bonalbo,"$87,800"
 2073,Sunset Strip,"$82,600"
 2074,Tullamore,"$78,800"
 2075,Rand,"$78,300"
 2075,Ungarie,"$78,300"
 2077,Yerong Creek,"$77,900"
 2078,Tingha,"$69,500"
 2079,Coonamble,"$68,300"
 2080,Collarenebri,"$59,000"
