Local Government Area,Offence type,Jan - Dec 2015,Jan - Dec 2016,Jan - Dec 2017,Jan - Dec 2018,Jan - Dec 2019,"Rate per 100,000 population Jan - Dec 2019",2 year trend and annual percent change (Jan 2018-Dec 2019),5 year trend and average annual percent change (Jan 2015-Dec 2019)
Bathurst Regional,Non-domestic violence related assault,209,196,252,255,249,576.3,Stable,Stable
Bathurst Regional,Assault Police,14,16,26,25,16,37,nc,nc
Bathurst Regional,Sexual assault,56,34,60,44,66,152.8,Stable,Stable
Bathurst Regional,"Indecent assault, act of indecency and other sexual offences",49,51,67,57,63,145.8,Stable,Stable
Bathurst Regional,Abduction and kidnapping,4,3,0,4,7,16.2,nc,nc
Bathurst Regional,Robbery without a weapon,7,8,7,8,9,20.8,nc,nc
Bathurst Regional,Robbery with a firearm,1,0,2,0,0,nc,nc,nc
Bathurst Regional,Robbery with a weapon not a firearm,8,6,2,6,6,13.9,nc,nc
Bathurst Regional,Blackmail and extortion,0,0,0,0,0,nc,nc,nc
Bathurst Regional,"Intimidation, stalking and harassment",155,191,243,261,297,687.4,Up 13.8%,Up 17.7%
Bathurst Regional,Other offences against the person,12,13,5,8,11,25.5,nc,nc
Bathurst Regional,Break and enter dwelling,349,328,243,233,283,655,Stable,Down 5.1%
Bathurst Regional,Break and enter non-dwelling,160,131,77,32,46,106.5,Stable,Down 26.8%
Bathurst Regional,Receiving or handling stolen goods,38,45,40,33,29,67.1,Stable,Stable
Bathurst Regional,Motor vehicle theft,89,105,64,70,62,143.5,Stable,Down 8.6%
Bathurst Regional,Steal from motor vehicle,244,336,279,283,185,428.2,Stable,Stable
Bathurst Regional,Steal from retail store,214,201,126,141,164,379.6,Stable,Stable
Bathurst Regional,Steal from dwelling,197,147,119,126,126,291.6,Stable,Down 10.6%
Bathurst Regional,Steal from person,30,19,24,29,17,39.3,nc,nc
Bathurst Regional,Stock theft,8,8,7,7,7,16.2,nc,nc
Bathurst Regional,Fraud,210,291,234,296,254,587.9,Stable,Stable
Bathurst Regional,Other theft,204,155,137,119,129,298.6,Stable,Down 10.8%
Bathurst Regional,Arson,60,58,70,51,39,90.3,Stable,Down 10.2%
Bathurst Regional,Malicious damage to property,561,502,618,485,443,1025.3,Stable,Down 5.7%
Bathurst Regional,Possession and/or use of cocaine,2,2,4,5,13,30.1,nc,nc
Bathurst Regional,Possession and/or use of narcotics,6,3,2,1,5,11.6,nc,nc
Bathurst Regional,Possession and/or use of cannabis,52,77,105,104,108,250,Stable,Up 20.0%
Bathurst Regional,Possession and/or use of amphetamines,32,38,27,36,71,164.3,Stable,Stable
Bathurst Regional,Possession and/or use of ecstasy,6,6,8,4,10,23.1,nc,nc
Bathurst Regional,Possession and/or use of other drugs,16,4,11,25,24,55.5,Stable,nc
Bathurst Regional,"Dealing, trafficking in cocaine",0,0,0,1,1,2.3,nc,nc
Bathurst Regional,"Dealing, trafficking in narcotics",2,1,0,0,0,nc,nc,nc
Bathurst Regional,"Dealing, trafficking in cannabis",2,1,1,2,6,13.9,nc,nc
Bathurst Regional,"Dealing, trafficking in amphetamines",14,6,5,12,2,4.6,nc,nc
Bathurst Regional,"Dealing, trafficking in ecstasy",1,2,5,4,6,13.9,nc,nc
Bathurst Regional,"Dealing, trafficking in other drugs",1,1,4,4,2,4.6,nc,nc
Bathurst Regional,Cultivating cannabis,7,7,8,6,11,25.5,nc,nc
Bathurst Regional,Manufacture drug,0,0,1,0,0,nc,nc,nc
Bathurst Regional,Importing drugs,0,1,0,0,0,nc,nc,nc
Bathurst Regional,Other drug offences,18,19,14,23,28,64.8,Stable,nc
Bathurst Regional,Prohibited and regulated weapons offences,98,96,162,111,129,298.6,Stable,Stable
Bathurst Regional,Trespass,72,80,77,99,86,199,Stable,Stable
Bathurst Regional,Offensive conduct,28,20,46,31,24,55.5,Stable,Stable
Bathurst Regional,Offensive language,15,4,27,20,6,13.9,nc,nc
Bathurst Regional,Criminal intent,12,10,10,12,13,30.1,nc,nc
Bathurst Regional,Betting and gaming offences,0,1,0,0,0,nc,nc,nc
Bathurst Regional,Liquor offences,24,23,43,52,36,83.3,Stable,Up 10.7%
Bathurst Regional,Pornography offences,2,2,2,4,3,6.9,nc,nc
Bathurst Regional,Prostitution offences,0,0,0,0,0,nc,nc,nc
Bathurst Regional,Escape custody,4,0,2,1,3,6.9,nc,nc
Bathurst Regional,Breach Apprehended Violence Order,120,139,169,138,139,321.7,Stable,Stable
Bathurst Regional,Breach bail conditions,342,333,496,378,306,708.2,Down 19.0%,Stable
Bathurst Regional,Fail to appear,32,13,9,0,2,4.6,nc,nc
Bathurst Regional,Resist or hinder officer,33,23,68,58,33,76.4,Stable,Stable
Bathurst Regional,Other offences against justice procedures,2,0,0,2,4,9.3,nc,nc
