Local Government Area,Offence type,Jan - Dec 2015,Jan - Dec 2016,Jan - Dec 2017,Jan - Dec 2018,Jan - Dec 2019,"Rate per 100,000 population Jan - Dec 2019",2 year trend and annual percent change (Jan 2018-Dec 2019),5 year trend and average annual percent change (Jan 2015-Dec 2019)
Lismore,Other theft,203,288,206,178,146,333,Stable,Down 7.9%
Lismore,Arson,45,49,42,44,32,73,Stable,Stable
Lismore,Malicious damage to property,553,476,458,435,393,896.4,Stable,Down 8.2%
Lismore,Possession and/or use of cocaine,2,5,7,3,6,13.7,nc,nc
Lismore,Possession and/or use of narcotics,6,9,5,13,9,20.5,nc,nc
Lismore,Possession and/or use of cannabis,446,446,397,366,403,919.2,Stable,Down 2.5%
Lismore,Possession and/or use of amphetamines,60,96,55,57,65,148.3,Stable,Stable
Lismore,Possession and/or use of ecstasy,12,11,13,10,17,38.8,nc,nc
Lismore,Possession and/or use of other drugs,33,45,27,57,51,116.3,Stable,Stable
Lismore,"Dealing, trafficking in cocaine",1,0,0,0,2,4.6,nc,nc
Lismore,"Dealing, trafficking in narcotics",0,1,1,4,1,2.3,nc,nc
Lismore,"Dealing, trafficking in cannabis",30,38,23,23,26,59.3,Stable,Stable
Lismore,"Dealing, trafficking in amphetamines",21,11,7,15,40,91.2,nc,nc
Lismore,"Dealing, trafficking in ecstasy",1,17,1,7,4,9.1,nc,nc
Lismore,"Dealing, trafficking in other drugs",4,0,8,6,4,9.1,nc,nc
Lismore,Cultivating cannabis,63,54,40,21,28,63.9,Stable,Down 18.4%
Lismore,Manufacture drug,3,1,0,0,2,4.6,nc,nc
Lismore,Importing drugs,0,1,0,0,0,nc,nc,nc
Lismore,Other drug offences,191,176,162,187,162,369.5,Stable,Stable
Lismore,Prohibited and regulated weapons offences,130,146,140,174,167,380.9,Stable,Stable
Lismore,Trespass,62,71,73,135,60,136.9,Down 55.6%,Stable
Lismore,Offensive conduct,91,89,72,63,67,152.8,Stable,Down 7.4%
Lismore,Offensive language,62,54,35,44,31,70.7,Stable,Down 15.9%
Lismore,Criminal intent,28,45,27,13,26,59.3,nc,nc
Lismore,Betting and gaming offences,0,0,0,0,0,nc,nc,nc
Lismore,Liquor offences,70,74,114,76,139,317,Stable,Stable
Lismore,Pornography offences,6,6,4,4,4,9.1,nc,nc
Lismore,Prostitution offences,0,0,0,0,0,nc,nc,nc
Lismore,Escape custody,3,5,1,3,2,4.6,nc,nc
Lismore,Breach Apprehended Violence Order,173,172,103,151,125,285.1,Stable,Down 7.8%
Lismore,Breach bail conditions,300,349,297,375,372,848.5,Stable,Stable
Lismore,Fail to appear,7,8,5,0,3,6.8,nc,nc
Lismore,Resist or hinder officer,89,100,66,83,88,200.7,Stable,Stable
Lismore,Other offences against justice procedures,11,5,5,4,15,34.2,nc,nc
Lismore,Transport regulatory offences,4,0,1,1,0,nc,nc,nc
Lismore,Other offences,94,86,71,88,86,196.2,Stable,Stable
Lithgow,Murder *,1,2,0,0,0,nc,nc,nc
Lithgow,Attempted murder,0,0,0,0,0,nc,nc,nc
Lithgow,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Lithgow,Manslaughter *,0,0,0,0,0,nc,nc,nc
Lithgow,Domestic violence related assault,94,85,102,89,114,526.9,Stable,Stable
Lithgow,Non-domestic violence related assault,89,125,123,133,124,573.1,Stable,Up 8.6%
Lithgow,Assault Police,6,4,15,13,3,13.9,nc,nc
Lithgow,Sexual assault,19,15,21,22,29,134,Stable,nc
Lithgow,"Indecent assault, act of indecency and other sexual offences",18,22,21,26,31,143.3,Stable,nc
Lithgow,Abduction and kidnapping,0,0,1,1,2,9.2,nc,nc
Lithgow,Robbery without a weapon,1,4,2,1,1,4.6,nc,nc
Lithgow,Robbery with a firearm,0,0,0,0,0,nc,nc,nc
Lithgow,Robbery with a weapon not a firearm,2,3,2,0,2,9.2,nc,nc
Lithgow,Blackmail and extortion,0,0,0,0,0,nc,nc,nc
Lithgow,"Intimidation, stalking and harassment",87,91,119,152,106,489.9,Down 30.3%,Up 5.1%
Lithgow,Other offences against the person,6,7,4,6,5,23.1,nc,nc
Lithgow,Break and enter dwelling,115,129,118,75,66,305,Stable,Down 13.0%
Lithgow,Break and enter non-dwelling,75,92,46,24,58,268.1,Up 141.7%,Down 6.2%
Lithgow,Receiving or handling stolen goods,6,11,21,16,14,64.7,nc,nc
Lithgow,Motor vehicle theft,40,52,41,33,54,249.6,Up 63.6%,Stable
Lithgow,Steal from motor vehicle,91,92,75,57,75,346.6,Stable,Stable
Lithgow,Steal from retail store,61,45,36,39,66,305,Up 69.2%,Stable
Lithgow,Steal from dwelling,90,95,88,63,102,471.4,Stable,Stable
Lithgow,Steal from person,14,7,8,6,8,37,nc,nc
Lithgow,Stock theft,0,6,3,2,2,9.2,nc,nc
Lithgow,Fraud,86,150,139,155,141,651.7,Stable,Up 13.2%
Lithgow,Other theft,90,105,84,87,105,485.3,Stable,Stable
Lithgow,Arson,28,33,20,18,22,101.7,nc,nc
Lithgow,Malicious damage to property,258,316,264,225,231,1067.7,Stable,Down 2.7%
Lithgow,Possession and/or use of cocaine,0,2,1,0,2,9.2,nc,nc
Lithgow,Possession and/or use of narcotics,0,1,0,0,3,13.9,nc,nc
Lithgow,Possession and/or use of cannabis,31,64,55,42,42,194.1,Stable,Stable
Lithgow,Possession and/or use of amphetamines,6,15,20,19,24,110.9,nc,nc
Lithgow,Possession and/or use of ecstasy,1,8,5,1,0,nc,nc,nc
Lithgow,Possession and/or use of other drugs,4,17,9,5,7,32.4,nc,nc
Lithgow,"Dealing, trafficking in cocaine",1,0,0,0,0,nc,nc,nc
Lithgow,"Dealing, trafficking in narcotics",0,0,0,0,0,nc,nc,nc
Lithgow,"Dealing, trafficking in cannabis",0,0,1,3,0,nc,nc,nc
Lithgow,"Dealing, trafficking in amphetamines",0,1,1,5,0,nc,nc,nc
Lithgow,"Dealing, trafficking in ecstasy",2,4,1,1,0,nc,nc,nc
Lithgow,"Dealing, trafficking in other drugs",0,1,0,0,0,nc,nc,nc
Lithgow,Cultivating cannabis,3,4,6,4,8,37,nc,nc
Lithgow,Manufacture drug,0,0,0,1,0,nc,nc,nc
Lithgow,Importing drugs,0,0,0,0,0,nc,nc,nc
Lithgow,Other drug offences,12,18,18,15,17,78.6,nc,nc
Lithgow,Prohibited and regulated weapons offences,45,57,46,44,50,231.1,Stable,Stable
Lithgow,Trespass,24,44,40,30,38,175.6,Stable,Stable
Lithgow,Offensive conduct,17,21,23,20,18,83.2,nc,nc
Lithgow,Offensive language,17,19,21,23,23,106.3,Stable,nc
Lithgow,Criminal intent,6,3,5,9,6,27.7,nc,nc
Lithgow,Betting and gaming offences,0,0,0,1,0,nc,nc,nc
Lithgow,Liquor offences,8,21,27,20,26,120.2,Stable,nc
Lithgow,Pornography offences,2,1,3,1,1,4.6,nc,nc
Lithgow,Prostitution offences,0,0,0,0,0,nc,nc,nc
Lithgow,Escape custody,1,0,3,0,1,4.6,nc,nc
Lithgow,Breach Apprehended Violence Order,59,57,73,77,83,383.6,Stable,Up 8.9%
Lithgow,Breach bail conditions,97,156,157,122,169,781.1,Stable,Up 14.9%
Lithgow,Fail to appear,2,3,6,0,0,nc,nc,nc
Lithgow,Resist or hinder officer,13,16,19,30,17,78.6,nc,nc
Lithgow,Other offences against justice procedures,1,1,3,0,3,13.9,nc,nc
Lithgow,Transport regulatory offences,48,12,15,15,5,23.1,nc,nc
Lithgow,Other offences,46,55,48,39,32,147.9,Stable,Down 8.7%
Liverpool,Murder *,1,4,1,2,4,1.8,nc,nc
Liverpool,Attempted murder,3,1,1,1,1,0.4,nc,nc
Liverpool,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Liverpool,Manslaughter *,0,0,0,0,0,nc,nc,nc
Liverpool,Domestic violence related assault,940,983,862,908,892,399.5,Stable,Stable
Liverpool,Non-domestic violence related assault,635,714,742,708,771,345.3,Stable,Up 5.0%
Liverpool,Assault Police,40,73,63,56,66,29.6,Stable,Stable
Liverpool,Sexual assault,133,151,138,135,147,65.8,Stable,Stable
Liverpool,"Indecent assault, act of indecency and other sexual offences",141,219,193,203,198,88.7,Stable,Stable
Liverpool,Abduction and kidnapping,13,14,6,4,7,3.1,nc,nc
Liverpool,Robbery without a weapon,52,39,61,45,41,18.4,Stable,Stable
Liverpool,Robbery with a firearm,8,3,5,5,7,3.1,nc,nc
Liverpool,Robbery with a weapon not a firearm,34,27,22,32,38,17,Stable,Stable
Liverpool,Blackmail and extortion,3,4,6,4,3,1.3,nc,nc
Liverpool,"Intimidation, stalking and harassment",1032,898,890,837,878,393.2,Stable,Down 4.0%
Liverpool,Other offences against the person,36,39,12,23,33,14.8,Stable,nc
Liverpool,Break and enter dwelling,918,822,794,656,701,313.9,Stable,Down 6.5%
Liverpool,Break and enter non-dwelling,211,196,225,161,182,81.5,Stable,Stable
Liverpool,Receiving or handling stolen goods,323,332,333,301,399,178.7,Up 32.6%,Stable
Liverpool,Motor vehicle theft,604,425,409,420,432,193.5,Stable,Down 8.0%
Liverpool,Steal from motor vehicle,1406,1317,1224,1084,1239,554.8,Stable,Stable
Liverpool,Steal from retail store,747,862,779,688,729,326.5,Stable,Stable
Liverpool,Steal from dwelling,436,539,435,421,482,215.8,Up 14.5%,Stable
Liverpool,Steal from person,151,124,108,83,69,30.9,Stable,Down 17.8%
Liverpool,Stock theft,1,4,0,4,2,0.9,nc,nc
Liverpool,Fraud,1809,1773,1724,1430,1536,687.9,Stable,Down 4.0%
Liverpool,Other theft,713,690,639,693,793,355.1,Stable,Stable
Liverpool,Arson,174,155,132,142,130,58.2,Stable,Down 7.0%
Liverpool,Malicious damage to property,1493,1349,1399,1305,1370,613.5,Stable,Stable
Liverpool,Possession and/or use of cocaine,32,19,25,35,42,18.8,Stable,nc
Liverpool,Possession and/or use of narcotics,44,35,62,52,192,86,Up 269.2%,Up 44.5%
Liverpool,Possession and/or use of cannabis,529,472,425,359,696,311.7,Up 93.9%,Stable
Liverpool,Possession and/or use of amphetamines,279,287,237,243,521,233.3,Up 114.4%,Stable
Liverpool,Possession and/or use of ecstasy,15,15,12,8,13,5.8,nc,nc
Liverpool,Possession and/or use of other drugs,92,130,119,158,356,159.4,Up 125.3%,Up 40.3%
Liverpool,"Dealing, trafficking in cocaine",1,8,9,10,30,13.4,nc,nc
Liverpool,"Dealing, trafficking in narcotics",8,15,13,4,19,8.5,nc,nc
Liverpool,"Dealing, trafficking in cannabis",27,19,15,14,17,7.6,nc,nc
Liverpool,"Dealing, trafficking in amphetamines",56,72,52,39,51,22.8,Stable,Stable
Liverpool,"Dealing, trafficking in ecstasy",6,7,7,0,4,1.8,nc,nc
Liverpool,"Dealing, trafficking in other drugs",5,2,4,1,25,11.2,nc,nc
Liverpool,Cultivating cannabis,20,23,29,26,32,14.3,Stable,Stable
Liverpool,Manufacture drug,7,3,0,3,7,3.1,nc,nc
Liverpool,Importing drugs,0,1,2,3,0,nc,nc,nc
Liverpool,Other drug offences,132,112,122,120,611,273.6,Up 409.2%,Up 46.7%
Liverpool,Prohibited and regulated weapons offences,359,389,356,349,536,240,Up 53.6%,Up 10.5%
Liverpool,Trespass,160,243,228,218,264,118.2,Stable,Up 13.3%
Liverpool,Offensive conduct,36,57,37,36,34,15.2,Stable,Stable
Liverpool,Offensive language,58,71,47,37,34,15.2,Stable,Down 12.5%
Liverpool,Criminal intent,67,39,35,58,64,28.7,Stable,Stable
Liverpool,Betting and gaming offences,1,0,0,0,0,nc,nc,nc
Liverpool,Liquor offences,29,149,136,134,83,37.2,Stable,Stable
Liverpool,Pornography offences,20,20,14,14,21,9.4,nc,nc
Liverpool,Prostitution offences,1,3,0,0,0,nc,nc,nc
Liverpool,Escape custody,1,2,3,4,2,0.9,nc,nc
Liverpool,Breach Apprehended Violence Order,359,387,368,424,411,184.1,Stable,Stable
Liverpool,Breach bail conditions,1042,974,914,772,1087,486.8,Up 40.8%,Stable
Liverpool,Fail to appear,10,14,11,4,15,6.7,nc,nc
Liverpool,Resist or hinder officer,92,162,133,109,143,64,Stable,Stable
Liverpool,Other offences against justice procedures,12,10,10,11,95,42.5,nc,nc
Liverpool,Transport regulatory offences,6217,7027,9344,10300,11816,5291.4,Up 14.7%,Up 17.4%
Liverpool,Other offences,300,319,287,322,367,164.3,Stable,Stable
Liverpool Plains,Murder *,1,0,0,0,0,nc,nc,nc
Liverpool Plains,Attempted murder,0,0,0,0,0,nc,nc,nc
Liverpool Plains,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Liverpool Plains,Manslaughter *,0,0,0,1,0,nc,nc,nc
Liverpool Plains,Domestic violence related assault,41,67,35,40,45,570.1,Stable,Stable
Liverpool Plains,Non-domestic violence related assault,26,41,39,41,28,354.7,Stable,Stable
Liverpool Plains,Assault Police,5,2,4,1,2,25.3,nc,nc
Liverpool Plains,Sexual assault,6,4,5,6,7,88.7,nc,nc
Liverpool Plains,"Indecent assault, act of indecency and other sexual offences",19,14,15,8,8,101.4,nc,nc
Liverpool Plains,Abduction and kidnapping,0,0,0,0,0,nc,nc,nc
Liverpool Plains,Robbery without a weapon,0,0,0,0,0,nc,nc,nc
Liverpool Plains,Robbery with a firearm,0,0,0,0,0,nc,nc,nc
Liverpool Plains,Robbery with a weapon not a firearm,0,0,0,0,1,12.7,nc,nc
Liverpool Plains,Blackmail and extortion,0,0,0,0,0,nc,nc,nc
Liverpool Plains,"Intimidation, stalking and harassment",69,85,65,65,75,950.2,Stable,Stable
Liverpool Plains,Other offences against the person,1,0,0,2,2,25.3,nc,nc
Liverpool Plains,Break and enter dwelling,35,33,26,20,33,418.1,Stable,Stable
Liverpool Plains,Break and enter non-dwelling,18,43,34,7,9,114,nc,nc
Liverpool Plains,Receiving or handling stolen goods,11,15,3,4,10,126.7,nc,nc
Liverpool Plains,Motor vehicle theft,13,14,19,11,16,202.7,nc,nc
Liverpool Plains,Steal from motor vehicle,26,18,19,18,29,367.4,nc,nc
Liverpool Plains,Steal from retail store,9,16,6,16,15,190,nc,nc
Liverpool Plains,Steal from dwelling,24,32,33,27,33,418.1,Stable,Stable
Liverpool Plains,Steal from person,1,0,0,1,0,nc,nc,nc
Liverpool Plains,Stock theft,4,4,8,4,4,50.7,nc,nc
Liverpool Plains,Fraud,17,29,23,24,22,278.7,Stable,nc
Liverpool Plains,Other theft,22,30,34,31,22,278.7,Down 29.0%,Stable
Liverpool Plains,Arson,7,6,8,6,3,38,nc,nc
Liverpool Plains,Malicious damage to property,49,85,102,89,89,1127.6,Stable,Up 16.1%
Liverpool Plains,Possession and/or use of cocaine,0,1,0,0,1,12.7,nc,nc
Liverpool Plains,Possession and/or use of narcotics,0,2,0,0,2,25.3,nc,nc
Liverpool Plains,Possession and/or use of cannabis,23,21,7,14,31,392.8,nc,nc
Liverpool Plains,Possession and/or use of amphetamines,5,2,4,2,13,164.7,nc,nc
Liverpool Plains,Possession and/or use of ecstasy,0,1,0,0,2,25.3,nc,nc
Liverpool Plains,Possession and/or use of other drugs,2,3,2,4,5,63.3,nc,nc
Liverpool Plains,"Dealing, trafficking in cocaine",0,0,0,0,0,nc,nc,nc
Liverpool Plains,"Dealing, trafficking in narcotics",0,1,0,0,0,nc,nc,nc
Liverpool Plains,"Dealing, trafficking in cannabis",3,7,1,0,2,25.3,nc,nc
Liverpool Plains,"Dealing, trafficking in amphetamines",0,2,1,0,6,76,nc,nc
Liverpool Plains,"Dealing, trafficking in ecstasy",0,0,0,0,0,nc,nc,nc
Liverpool Plains,"Dealing, trafficking in other drugs",1,0,0,0,0,nc,nc,nc
Liverpool Plains,Cultivating cannabis,4,2,2,5,5,63.3,nc,nc
Liverpool Plains,Manufacture drug,0,2,0,0,0,nc,nc,nc
Liverpool Plains,Importing drugs,0,0,0,0,0,nc,nc,nc
Liverpool Plains,Other drug offences,9,15,5,7,23,291.4,nc,nc
Liverpool Plains,Prohibited and regulated weapons offences,26,29,26,34,42,532.1,Stable,Up 12.7%
Liverpool Plains,Trespass,25,32,26,26,23,291.4,Stable,Stable
Liverpool Plains,Offensive conduct,10,18,15,16,9,114,nc,nc
Liverpool Plains,Offensive language,25,18,10,14,10,126.7,nc,nc
Liverpool Plains,Criminal intent,8,9,4,3,5,63.3,nc,nc
Liverpool Plains,Betting and gaming offences,0,0,1,0,0,nc,nc,nc
Liverpool Plains,Liquor offences,9,16,11,9,11,139.4,nc,nc
Liverpool Plains,Pornography offences,4,1,1,3,2,25.3,nc,nc
Liverpool Plains,Prostitution offences,0,0,0,0,0,nc,nc,nc
Liverpool Plains,Escape custody,0,0,0,1,0,nc,nc,nc
Liverpool Plains,Breach Apprehended Violence Order,15,27,14,27,19,240.7,nc,nc
Liverpool Plains,Breach bail conditions,41,58,49,74,71,899.5,Stable,Up 14.7%
Liverpool Plains,Fail to appear,0,0,0,0,0,nc,nc,nc
Liverpool Plains,Resist or hinder officer,12,8,6,6,6,76,nc,nc
Liverpool Plains,Other offences against justice procedures,0,0,0,1,0,nc,nc,nc
Liverpool Plains,Transport regulatory offences,6,7,8,0,0,nc,nc,nc
Liverpool Plains,Other offences,29,20,15,16,22,278.7,nc,nc
Lockhart,Murder *,0,0,0,0,0,nc,nc,nc
Lockhart,Attempted murder,0,0,0,0,0,nc,nc,nc
Lockhart,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Lockhart,Manslaughter *,0,0,0,0,0,nc,nc,nc
Lockhart,Domestic violence related assault,13,7,11,10,12,364.2,nc,nc
Lockhart,Non-domestic violence related assault,14,4,12,6,6,182.1,nc,nc
Lockhart,Assault Police,0,0,1,0,0,nc,nc,nc
Lockhart,Sexual assault,1,2,3,2,3,91,nc,nc
Lockhart,"Indecent assault, act of indecency and other sexual offences",1,2,1,3,6,182.1,nc,nc
Lockhart,Abduction and kidnapping,0,0,0,0,0,nc,nc,nc
Lockhart,Robbery without a weapon,0,0,0,0,0,nc,nc,nc
Lockhart,Robbery with a firearm,0,0,0,0,0,nc,nc,nc
Lockhart,Robbery with a weapon not a firearm,0,0,0,0,1,30.3,nc,nc
Lockhart,Blackmail and extortion,0,0,0,0,0,nc,nc,nc
Lockhart,"Intimidation, stalking and harassment",11,14,11,9,4,121.4,nc,nc
Lockhart,Other offences against the person,0,1,0,2,1,30.3,nc,nc
Lockhart,Break and enter dwelling,8,13,4,15,4,121.4,nc,nc
Lockhart,Break and enter non-dwelling,9,12,5,9,14,424.9,nc,nc
Lockhart,Receiving or handling stolen goods,0,2,0,2,0,nc,nc,nc
Lockhart,Motor vehicle theft,8,1,3,8,2,60.7,nc,nc
Lockhart,Steal from motor vehicle,4,4,6,19,7,212.4,nc,nc
Lockhart,Steal from retail store,0,1,0,2,1,30.3,nc,nc
Lockhart,Steal from dwelling,7,10,4,6,2,60.7,nc,nc
Lockhart,Steal from person,0,0,0,0,0,nc,nc,nc
Lockhart,Stock theft,3,6,3,3,4,121.4,nc,nc
Lockhart,Fraud,5,4,4,5,8,242.8,nc,nc
Lockhart,Other theft,8,4,4,8,10,303.5,nc,nc
Lockhart,Arson,3,2,2,0,1,30.3,nc,nc
Lockhart,Malicious damage to property,14,22,18,19,17,515.9,nc,nc
Lockhart,Possession and/or use of cocaine,0,0,0,1,0,nc,nc,nc
Lockhart,Possession and/or use of narcotics,0,0,0,0,0,nc,nc,nc
Lockhart,Possession and/or use of cannabis,2,4,6,2,2,60.7,nc,nc
Lockhart,Possession and/or use of amphetamines,0,0,1,1,0,nc,nc,nc
Lockhart,Possession and/or use of ecstasy,0,0,0,0,0,nc,nc,nc
Lockhart,Possession and/or use of other drugs,1,1,0,0,0,nc,nc,nc
Lockhart,"Dealing, trafficking in cocaine",0,0,0,0,0,nc,nc,nc
Lockhart,"Dealing, trafficking in narcotics",0,0,0,0,0,nc,nc,nc
Lockhart,"Dealing, trafficking in cannabis",0,1,1,0,0,nc,nc,nc
Lockhart,"Dealing, trafficking in amphetamines",0,0,1,0,0,nc,nc,nc
Lockhart,"Dealing, trafficking in ecstasy",0,0,0,0,0,nc,nc,nc
Lockhart,"Dealing, trafficking in other drugs",0,0,0,0,0,nc,nc,nc
Lockhart,Cultivating cannabis,2,1,2,1,0,nc,nc,nc
Lockhart,Manufacture drug,0,0,0,0,0,nc,nc,nc
Lockhart,Importing drugs,0,0,0,0,0,nc,nc,nc
Lockhart,Other drug offences,1,1,1,0,0,nc,nc,nc
Lockhart,Prohibited and regulated weapons offences,6,6,12,10,9,273.1,nc,nc
Lockhart,Trespass,2,3,6,4,2,60.7,nc,nc
Lockhart,Offensive conduct,1,2,1,0,0,nc,nc,nc
Lockhart,Offensive language,1,0,1,0,0,nc,nc,nc
Lockhart,Criminal intent,0,0,0,1,1,30.3,nc,nc
Lockhart,Betting and gaming offences,0,12,3,1,0,nc,nc,nc
Lockhart,Liquor offences,1,51,8,6,1,30.3,nc,nc
Lockhart,Pornography offences,0,0,1,0,0,nc,nc,nc
Lockhart,Prostitution offences,0,0,0,0,0,nc,nc,nc
Lockhart,Escape custody,0,0,0,0,0,nc,nc,nc
Lockhart,Breach Apprehended Violence Order,2,4,8,6,2,60.7,nc,nc
Lockhart,Breach bail conditions,5,2,6,2,1,30.3,nc,nc
Lockhart,Fail to appear,0,0,0,0,0,nc,nc,nc
Lockhart,Resist or hinder officer,3,0,1,2,0,nc,nc,nc
Lockhart,Other offences against justice procedures,0,0,0,0,0,nc,nc,nc
Lockhart,Transport regulatory offences,1,1,0,0,2,60.7,nc,nc
Lockhart,Other offences,3,6,4,3,6,182.1,nc,nc
Lord Howe Island,Murder *,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Attempted murder,0,0,0,0,0,nc,nc,nc
Lord Howe Island,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Lord Howe Island,Manslaughter *,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Domestic violence related assault,0,2,1,0,1,nc,nc,nc
Lord Howe Island,Non-domestic violence related assault,1,4,1,1,6,nc,nc,nc
Lord Howe Island,Assault Police,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Sexual assault,0,0,0,1,1,nc,nc,nc
Lord Howe Island,"Indecent assault, act of indecency and other sexual offences",0,5,0,0,2,nc,nc,nc
Lord Howe Island,Abduction and kidnapping,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Robbery without a weapon,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Robbery with a firearm,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Robbery with a weapon not a firearm,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Blackmail and extortion,0,0,0,0,0,nc,nc,nc
Lord Howe Island,"Intimidation, stalking and harassment",0,0,0,2,3,nc,nc,nc
Lord Howe Island,Other offences against the person,0,0,0,0,1,nc,nc,nc
Lord Howe Island,Break and enter dwelling,0,0,0,1,0,nc,nc,nc
Lord Howe Island,Break and enter non-dwelling,4,0,2,0,0,nc,nc,nc
Lord Howe Island,Receiving or handling stolen goods,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Motor vehicle theft,0,0,0,1,0,nc,nc,nc
Lord Howe Island,Steal from motor vehicle,0,1,0,0,0,nc,nc,nc
Lord Howe Island,Steal from retail store,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Steal from dwelling,0,0,1,1,0,nc,nc,nc
Lord Howe Island,Steal from person,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Stock theft,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Fraud,1,0,2,0,0,nc,nc,nc
Lord Howe Island,Other theft,3,0,1,0,4,nc,nc,nc
Lord Howe Island,Arson,0,0,1,0,0,nc,nc,nc
Lord Howe Island,Malicious damage to property,1,0,3,1,3,nc,nc,nc
Lord Howe Island,Possession and/or use of cocaine,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Possession and/or use of narcotics,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Possession and/or use of cannabis,2,3,0,0,0,nc,nc,nc
Lord Howe Island,Possession and/or use of amphetamines,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Possession and/or use of ecstasy,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Possession and/or use of other drugs,0,0,0,0,2,nc,nc,nc
Lord Howe Island,"Dealing, trafficking in cocaine",0,0,0,1,0,nc,nc,nc
Lord Howe Island,"Dealing, trafficking in narcotics",0,0,0,0,0,nc,nc,nc
Lord Howe Island,"Dealing, trafficking in cannabis",0,0,0,0,2,nc,nc,nc
Lord Howe Island,"Dealing, trafficking in amphetamines",0,0,2,0,1,nc,nc,nc
Lord Howe Island,"Dealing, trafficking in ecstasy",0,0,0,0,0,nc,nc,nc
Lord Howe Island,"Dealing, trafficking in other drugs",0,0,0,0,1,nc,nc,nc
Lord Howe Island,Cultivating cannabis,1,0,0,1,0,nc,nc,nc
Lord Howe Island,Manufacture drug,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Importing drugs,0,0,1,0,0,nc,nc,nc
Lord Howe Island,Other drug offences,1,0,1,8,2,nc,nc,nc
Lord Howe Island,Prohibited and regulated weapons offences,3,0,0,2,1,nc,nc,nc
Lord Howe Island,Trespass,0,0,0,0,2,nc,nc,nc
Lord Howe Island,Offensive conduct,0,3,0,0,0,nc,nc,nc
Lord Howe Island,Offensive language,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Criminal intent,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Betting and gaming offences,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Liquor offences,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Pornography offences,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Prostitution offences,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Escape custody,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Breach Apprehended Violence Order,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Breach bail conditions,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Fail to appear,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Resist or hinder officer,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Other offences against justice procedures,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Transport regulatory offences,0,0,0,0,0,nc,nc,nc
Lord Howe Island,Other offences,1,2,3,3,13,nc,nc,nc
Maitland,Murder *,1,1,0,0,0,nc,nc,nc
Maitland,Attempted murder,0,0,1,0,0,nc,nc,nc
Maitland,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Maitland,Manslaughter *,0,0,0,0,0,nc,nc,nc
Maitland,Domestic violence related assault,470,496,442,486,431,518,Stable,Stable
Maitland,Non-domestic violence related assault,303,325,328,374,341,409.8,Stable,Stable
Maitland,Assault Police,19,13,24,24,25,30,Stable,nc
Maitland,Sexual assault,70,63,82,85,97,116.6,Stable,Up 8.5%
Maitland,"Indecent assault, act of indecency and other sexual offences",101,80,107,112,117,140.6,Stable,Stable
Maitland,Abduction and kidnapping,5,3,2,1,0,nc,nc,nc
Maitland,Robbery without a weapon,9,9,9,9,4,4.8,nc,nc
Maitland,Robbery with a firearm,3,2,2,2,0,nc,nc,nc
Maitland,Robbery with a weapon not a firearm,17,12,9,16,7,8.4,nc,nc
Maitland,Blackmail and extortion,0,0,0,0,0,nc,nc,nc
Maitland,"Intimidation, stalking and harassment",417,470,478,478,576,692.3,Up 20.5%,Up 8.4%
Maitland,Other offences against the person,15,11,8,7,14,16.8,nc,nc
Maitland,Break and enter dwelling,366,430,371,392,305,366.6,Down 22.2%,Stable
Maitland,Break and enter non-dwelling,198,161,155,140,194,233.2,Stable,Stable
Maitland,Receiving or handling stolen goods,64,92,89,98,116,139.4,Stable,Up 16.0%
Maitland,Motor vehicle theft,181,218,222,193,205,246.4,Stable,Stable
